Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201501BS70068,523740,181170,-0.218090,51.515910,1,3,1,1,10/02/2015,3,16:10,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01002877
201501BS70069,524300,180660,-0.210203,51.511203,1,3,1,1,13/02/2015,6,08:50,12,E09000020,5,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002872
201501BS70070,524000,182090,-0.214021,51.524121,1,3,2,1,14/02/2015,7,21:55,12,E09000020,4,450,6,30,1,4,5,0,0,0,4,1,2,0,0,1,1,E01002905
201501BS70071,524330,181250,-0.209563,51.516499,1,3,2,1,13/02/2015,6,18:50,12,E09000020,4,450,6,30,6,4,6,0,0,0,4,1,2,0,0,1,1,E01002879
201501BS70072,526570,177260,-0.178728,51.480144,1,3,3,2,13/02/2015,6,18:45,12,E09000020,3,3220,6,30,3,4,5,0,0,0,4,2,2,0,0,1,1,E01002841
201501BS70073,528130,178350,-0.155880,51.489589,1,3,2,1,14/02/2015,7,11:45,12,E09000020,3,3214,6,30,6,2,3,3216,0,5,1,1,2,0,0,1,1,E01002902
201501BS70074,524790,180320,-0.203266,51.508040,1,3,2,1,09/02/2015,2,11:30,12,E09000020,3,402,6,30,3,2,4,450,0,5,1,1,1,0,0,1,2,E01002871
201501BS70076,526300,177390,-0.182567,51.481373,1,3,2,1,16/02/2015,2,20:35,12,E09000020,3,3217,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01002843
201501BS70077,523930,180060,-0.215743,51.505892,1,3,1,1,16/02/2015,2,09:22,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002873
201501BS70078,528010,178650,-0.157499,51.492312,1,3,1,1,16/02/2015,2,10:00,12,E09000020,3,3217,2,30,3,2,3,3216,0,5,1,1,1,0,0,1,1,E01002902
201501BS70080,524630,181210,-0.205256,51.516074,1,3,1,1,17/02/2015,3,10:02,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002831
201501BS70081,526430,177930,-0.180503,51.486197,1,3,2,1,17/02/2015,3,17:48,12,E09000020,3,308,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01002912
201501BS70082,525490,179550,-0.193459,51.500965,1,3,1,1,17/02/2015,3,10:00,12,E09000020,3,315,6,30,3,2,5,0,0,5,1,1,1,0,0,1,1,E01002825
201501BS70083,527760,179160,-0.160914,51.496952,1,3,2,1,11/02/2015,4,20:30,12,E09000020,4,319,6,30,3,4,6,0,0,0,4,1,1,0,0,1,2,E01002863
201501BS70085,524230,181510,-0.210912,51.518858,1,3,2,1,19/02/2015,5,19:00,12,E09000020,4,450,6,30,6,4,6,0,0,0,4,1,2,0,0,1,1,E01002878
201501BS70086,526510,178010,-0.179323,51.486898,1,3,1,1,19/02/2015,5,22:05,12,E09000020,3,308,6,30,6,2,5,0,0,5,4,2,2,0,0,1,1,E01002911
201501BS70087,525730,178270,-0.190458,51.489409,1,3,1,2,20/02/2015,6,23:52,12,E09000020,3,3218,6,30,6,2,3,3220,0,5,4,1,1,0,0,1,1,E01002894
201501BS70088,523280,181620,-0.224558,51.520054,1,2,2,1,21/02/2015,7,12:20,12,E09000020,4,412,1,30,1,4,4,412,0,1,1,1,1,0,0,1,1,E01002876
201501BS70089,524850,181890,-0.201846,51.522136,1,3,1,1,22/02/2015,1,10:50,1,E09000033,5,0,6,30,3,4,3,4207,0,0,1,1,1,0,0,1,1,E01002854
201501BS70091,524280,181350,-0.210248,51.517409,1,3,1,1,22/02/2015,1,18:35,12,E09000020,4,450,6,30,0,-1,-1,0,0,4,4,1,2,0,0,1,1,E01002831
201501BS70092,526360,177160,-0.181786,51.479293,1,2,2,1,23/02/2015,2,15:56,12,E09000020,6,0,6,30,2,4,6,0,0,0,1,1,1,0,0,1,1,E01002841
201501BS70093,526590,177270,-0.178436,51.480230,1,3,1,1,25/02/2015,4,07:30,12,E09000020,3,3220,6,30,3,4,5,0,0,1,1,2,2,0,0,1,1,E01002840
201501BS70094,528060,178710,-0.156758,51.492840,1,3,1,1,19/02/2015,5,14:56,12,E09000020,3,3217,6,30,6,4,3,3217,0,1,1,2,2,0,0,1,1,E01002902
201501BS70095,524410,181100,-0.208464,51.515134,1,3,2,1,26/02/2015,5,21:43,12,E09000020,4,450,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,E01002874
201501BS70096,525490,179540,-0.193462,51.500875,1,3,1,1,26/02/2015,5,19:16,12,E09000020,3,315,6,30,3,2,5,0,0,5,4,1,1,0,0,1,1,E01002889
201501BS70097,528110,178360,-0.156165,51.489684,1,3,1,1,01/03/2015,1,18:20,12,E09000020,3,3216,6,30,6,2,4,302,0,5,4,2,2,0,0,1,1,E01002902
201501BS70098,525480,179530,-0.193610,51.500788,1,3,1,1,28/02/2015,7,16:18,12,E09000020,3,315,3,30,3,4,5,0,0,4,1,1,1,0,0,1,1,E01002816
201501BS70099,527160,178700,-0.169718,51.492953,1,3,2,1,01/03/2015,1,13:02,12,E09000020,3,308,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002823
201501BS70100,524840,180780,-0.202383,51.512163,1,3,3,1,28/02/2015,7,11:39,12,E09000020,4,415,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01002882
201501BS70101,526730,177720,-0.176260,51.484243,1,3,1,1,28/02/2015,7,16:00,12,E09000020,3,3217,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002845
201501BS70102,527350,177650,-0.167361,51.483474,1,2,1,1,01/03/2015,1,14:20,12,E09000020,3,3212,6,30,6,2,3,3031,0,5,1,1,1,0,0,1,1,E01002844
201501BS70103,527280,178110,-0.168203,51.487624,1,3,1,1,02/03/2015,2,16:01,12,E09000020,3,3217,6,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01002899
201501BS70104,525100,180130,-0.198869,51.506264,1,3,2,6,02/03/2015,2,10:27,12,E09000020,5,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002825
201501BS70105,525430,178690,-0.194628,51.493250,1,3,1,1,02/03/2015,2,11:26,12,E09000020,3,3220,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002851
201501BS70106,527280,178690,-0.167994,51.492837,1,3,3,1,31/01/2015,7,18:12,12,E09000020,5,0,6,30,6,4,6,0,0,0,4,1,1,0,0,1,2,E01002858
201501BS70107,527390,178110,-0.166620,51.487599,1,3,2,1,03/03/2015,3,21:01,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01002899
201501BS70108,527330,177640,-0.167653,51.483389,1,3,2,1,03/03/2015,3,10:11,12,E09000020,3,3212,6,30,3,4,3,3212,0,0,1,1,1,0,0,1,1,E01002844
201501BS70111,524610,179270,-0.206229,51.498643,1,3,2,1,06/03/2015,6,19:30,12,E09000020,3,3220,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002864
201501BS70112,526030,177530,-0.186404,51.482691,1,3,2,1,06/03/2015,6,12:01,12,E09000020,3,304,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002913
201501BS70113,526940,177460,-0.173331,51.481859,1,3,3,2,21/02/2015,7,13:30,12,E09000020,3,3220,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002840
201501BS70114,526080,177260,-0.185780,51.480254,1,3,2,1,04/03/2015,4,07:50,12,E09000020,3,308,6,30,3,4,5,0,0,0,1,1,1,0,0,1,2,E01002843
201501BS70115,524860,179170,-0.202664,51.497689,1,3,2,1,10/03/2015,3,12:30,12,E09000020,3,315,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,E01002814
201501BS70116,526910,177480,-0.173755,51.482045,1,3,2,1,10/03/2015,3,19:30,12,E09000020,3,3212,6,30,6,2,3,3220,0,5,4,1,1,0,0,1,1,E01002840
201501BS70117,524910,180350,-0.201527,51.508283,1,3,2,1,10/03/2015,3,22:40,12,E09000020,3,402,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002883
201501BS70118,525570,178190,-0.192790,51.488725,1,3,1,1,10/03/2015,3,23:35,12,E09000020,3,3220,6,30,3,2,3,3218,0,5,4,1,1,0,0,1,1,E01002849
201501BS70119,526280,177790,-0.182712,51.484972,1,3,2,1,10/03/2015,3,17:30,12,E09000020,3,308,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002912
201501BS70120,527100,177990,-0.170837,51.486586,1,2,2,1,11/03/2015,4,12:44,12,E09000020,3,3217,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002844
201501BS70123,527770,179690,-0.160578,51.501713,1,3,3,2,12/03/2015,5,20:20,1,E09000033,3,4,3,30,3,2,3,3216,0,5,4,1,1,0,0,1,1,E01002818
201501BS70124,527750,177950,-0.161495,51.486080,1,2,2,1,11/03/2015,4,09:30,12,E09000020,4,302,6,30,6,4,6,0,0,1,1,1,1,0,0,1,2,E01002900
201501BS70125,525160,180720,-0.197795,51.511553,1,3,2,1,13/03/2015,6,14:20,12,E09000020,3,4206,6,30,3,4,6,0,0,0,1,1,1,4,0,1,1,E01002884
201501BS70126,525860,178080,-0.188655,51.487672,1,2,2,1,15/03/2015,1,21:44,12,E09000020,3,3220,6,30,6,4,6,0,0,1,4,8,2,0,0,1,1,E01002893
201501BS70127,528020,178690,-0.157341,51.492670,1,3,1,1,12/03/2015,5,12:20,12,E09000020,3,3217,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002902
201501BS70129,525940,178590,-0.187321,51.492238,1,3,2,1,16/03/2015,2,08:15,12,E09000020,5,0,1,30,2,4,6,0,0,0,1,2,2,0,0,1,1,E01002834
201501BS70130,526860,179090,-0.173897,51.496526,1,3,1,1,16/03/2015,2,12:55,12,E09000020,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002821
201501BS70131,524690,181740,-0.204204,51.520824,1,3,3,1,17/03/2015,3,15:03,12,E09000020,3,40,3,40,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002854
201501BS70132,524710,180470,-0.204365,51.509406,1,3,2,1,18/03/2015,4,11:15,12,E09000020,4,450,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002875
201501BS70134,524350,181230,-0.209282,51.516315,1,3,2,1,18/03/2015,4,20:14,12,E09000020,4,450,6,30,6,4,6,0,0,5,4,1,1,0,0,1,1,E01002879
201501BS70135,526560,178420,-0.178456,51.490572,1,3,2,1,05/03/2015,5,08:55,12,E09000020,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002820
201501BS70136,525990,179690,-0.186209,51.502112,1,3,2,1,19/03/2015,5,13:23,12,E09000020,3,315,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,E01002889
201501BS70137,526090,177270,-0.185633,51.480341,1,3,2,1,20/03/2015,6,15:35,12,E09000020,3,308,6,30,8,4,5,0,0,0,1,1,1,0,0,1,1,E01002843
201501BS70138,526160,177310,-0.184611,51.480685,1,3,2,1,20/03/2015,6,16:19,12,E09000020,3,308,6,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01002843
201501BS70139,526940,178960,-0.172792,51.495339,1,2,1,1,20/03/2015,6,20:40,12,E09000020,3,3218,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002821
201501BS70140,525670,178860,-0.191112,51.494724,1,2,1,1,21/03/2015,7,20:11,12,E09000020,3,4,3,30,3,2,3,4,0,5,4,1,1,0,0,1,1,E01002839
201501BS70141,526890,177850,-0.173910,51.485375,1,3,2,2,22/03/2015,1,01:05,12,E09000020,3,3217,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002844
201501BS70142,525410,180500,-0.194273,51.509521,1,3,2,2,23/03/2015,2,08:15,12,E09000020,3,402,6,30,6,2,3,402,0,5,1,1,1,0,0,1,1,E01002884
201501BS70143,526380,179620,-0.180618,51.501396,1,3,2,1,14/03/2015,7,08:45,1,E09000033,3,315,6,30,3,2,5,0,0,5,1,1,1,0,0,1,2,E01002891
201501BS70144,525850,179710,-0.188218,51.502323,1,2,1,1,13/03/2015,6,17:13,12,E09000020,3,315,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01002889
201501BS70146,524300,181330,-0.209967,51.517225,1,3,1,1,24/03/2015,3,16:47,12,E09000020,4,450,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01002831
201501BS70148,527410,178210,-0.166296,51.488494,1,3,2,1,25/03/2015,4,13:50,12,E09000020,3,3217,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002914
201501BS70150,527170,179100,-0.169430,51.496546,1,3,1,1,29/03/2015,1,21:05,12,E09000020,3,4,6,30,3,2,3,308,0,5,4,1,1,0,0,1,1,E01002821
201501BS70151,527350,178160,-0.167177,51.488058,1,2,1,1,27/03/2015,6,17:30,12,E09000020,3,3217,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002899
201501BS70152,527800,179620,-0.160171,51.501077,1,3,1,1,27/05/2015,4,23:53,12,E09000020,3,3216,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002818
201501BS70153,527300,179210,-0.167519,51.497505,1,3,2,1,28/03/2015,7,19:45,12,E09000020,3,4,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002819
201501BS70154,525010,181200,-0.199786,51.515900,1,3,2,1,25/03/2015,4,16:00,12,E09000020,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002832
201501BS70155,526520,178030,-0.179172,51.487076,1,3,2,1,28/03/2015,7,21:20,12,E09000020,3,308,6,30,6,2,5,0,0,5,4,1,1,0,0,1,1,E01002838
201501BS70156,523860,181170,-0.216361,51.515883,1,3,2,2,25/03/2015,4,16:00,12,E09000020,3,40,3,40,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002878
201501BS70158,527100,178380,-0.170697,51.490091,1,3,2,1,05/03/2015,5,13:45,12,E09000020,4,304,6,30,6,4,6,0,0,1,1,1,1,0,0,1,2,E01002914
201501BS70160,526820,177650,-0.174990,51.483593,1,3,1,1,31/03/2015,3,21:36,12,E09000020,3,3220,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002845
201501BS70162,526410,177820,-0.180830,51.485213,1,3,1,1,02/04/2015,5,10:42,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002912
201501BS70164,523500,181160,-0.221550,51.515872,1,3,2,1,02/04/2015,5,17:32,11,E09000013,3,3220,1,30,1,4,3,40,0,0,1,1,1,0,0,1,1,E01002877
201501BS70166,524560,180820,-0.206402,51.512584,1,3,3,1,10/04/2015,6,12:30,12,E09000020,4,450,6,30,3,4,5,0,0,0,1,1,1,0,0,1,1,E01002833
201501BS70167,526810,177780,-0.175087,51.484764,1,3,2,1,10/04/2015,6,15:44,12,E09000020,3,3217,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002845
201501BS70168,524580,181160,-0.205994,51.515635,1,3,2,1,12/04/2015,1,08:40,12,E09000020,6,0,6,30,2,4,6,0,0,0,1,1,1,0,0,1,1,E01002833
201501BS70169,527630,177690,-0.163316,51.483771,1,3,2,1,11/04/2015,7,14:03,12,E09000020,3,3212,6,30,0,-1,-1,0,0,5,1,1,1,0,0,2,1,E01002900
201501BS70170,523910,181390,-0.215564,51.517850,1,3,2,2,09/04/2015,5,10:29,12,E09000020,4,412,6,30,2,4,6,0,0,0,1,1,1,0,0,1,1,E01002878
201501BS70171,527440,178420,-0.165788,51.490374,1,3,2,1,10/04/2015,6,22:20,12,E09000020,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002914
201501BS70172,525140,178520,-0.198863,51.491786,1,3,2,2,10/04/2015,6,21:05,12,E09000020,3,3220,6,30,3,4,6,0,0,4,4,1,1,0,0,1,1,E01002848
201501BS70174,524000,182080,-0.214025,51.524031,1,3,2,2,11/04/2015,7,17:28,12,E09000020,4,450,6,30,2,2,5,0,0,5,1,1,1,0,0,1,1,E01002905
201501BS70175,526400,177080,-0.181239,51.478565,1,3,1,1,12/04/2015,1,00:45,12,E09000020,5,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002841
201501BS70176,524620,179060,-0.206159,51.496754,1,3,1,1,12/04/2015,1,14:43,12,E09000020,3,3220,2,30,3,2,3,315,0,5,1,1,1,0,0,1,1,E01002867
201501BS70177,527330,177640,-0.167653,51.483389,1,3,1,1,13/04/2015,2,16:12,12,E09000020,3,3212,6,30,6,2,4,304,0,5,1,1,1,0,0,1,1,E01002844
